Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Release Code,Release,Unit,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
"7,""'024"",""Angola"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",""62.7"",""65.1"",""66.8"",""70.1"",""71.7"",""72.2"",,"
"7,""'024"",""Angola"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",""18.4"",""19.8"",""20.8"",""22.8"",""24.1"",""25.1"",""26"",""27.1"""
"7,""'024"",""Angola"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",""19"",""20.4"",""21.6"",""23.4"",""24.8"",""25.7"",,"
"8,""'028"",""Antigua and Barbuda"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""9.73"",""10.05"",""10.2"",""10.42"",""10.54"",""11.65"",""12.48"",""13.12"""
"8,""'028"",""Antigua and Barbuda"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.77"",""4.24"",""4.38"",""4.67"",""4.92"",""5.46"",""5.8"",""5.9"""
"8,""'028"",""Antigua and Barbuda"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""1.43"",,,"
"8,""'028"",""Antigua and Barbuda"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.67"",,,"
"8,""'028"",""Antigua and Barbuda"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""1.71"",,,"
"8,""'028"",""Antigua and Barbuda"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.8"",,,"
"8,""'028"",""Antigua and Barbuda"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""1.03"",,,"
"8,""'028"",""Antigua and Barbuda"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.48"",,,"
"8,""'028"",""Antigua and Barbuda"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""2.69"",,,"
"8,""'028"",""Antigua and Barbuda"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.26"",,,"
"8,""'028"",""Antigua and Barbuda"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""3.4"",,,"
"8,""'028"",""Antigua and Barbuda"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.59"",,,"
"8,""'028"",""Antigua and Barbuda"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.27"",,,"
"8,""'028"",""Antigua and Barbuda"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.13"",,,"
"8,""'028"",""Antigua and Barbuda"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",,,,,,,,"
"8,""'028"",""Antigua and Barbuda"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",,,,,,,,"
"8,""'028"",""Antigua and Barbuda"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",,,,,,,,"
"8,""'028"",""Antigua and Barbuda"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",,,,,,,,"
"9,""'032"",""Argentina"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""36.09"",,,,,,,"
"9,""'032"",""Argentina"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.26"",,,,,,,"
"9,""'032"",""Argentina"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,,,,"
"9,""'032"",""Argentina"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,,,,"
"9,""'032"",""Argentina"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,,,,"
"9,""'032"",""Argentina"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,,,,"
"9,""'032"",""Argentina"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,,,,"
"9,""'032"",""Argentina"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,,,,"
"9,""'032"",""Argentina"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,,,,"
"9,""'032"",""Argentina"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,,,,"
"9,""'032"",""Argentina"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,,,,"
"9,""'032"",""Argentina"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,,,,"
"9,""'032"",""Argentina"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,,,,"
"9,""'032"",""Argentina"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,,,,"
"9,""'032"",""Argentina"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",""8.5"",,,,,,,"
"9,""'032"",""Argentina"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",""8.6"",,,,,,,"
"9,""'032"",""Argentina"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",""3.8"",,,,,,,"
"9,""'032"",""Argentina"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",""3.8"",,,,,,,"
"1,""'051"",""Armenia"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""536.78"",""549.33"",""559.37"",""561.12"",""624.4"",""705.33"",""701.23"",""685.1"""
"1,""'051"",""Armenia"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.22"",""3.31"",""3.44"",""3.54"",""3.8"",""4.27"",""4.33"",""4.35"""
"1,""'051"",""Armenia"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""96.92"",,,"
"1,""'051"",""Armenia"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.59"",,,"
"1,""'051"",""Armenia"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""170.36"",,,"
"1,""'051"",""Armenia"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.04"",,,"
"1,""'051"",""Armenia"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""66.01"",,,"
"1,""'051"",""Armenia"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.4"",,,"
"1,""'051"",""Armenia"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""99.14"",,,"
"1,""'051"",""Armenia"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.6"",,,"
"1,""'051"",""Armenia"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""150.59"",,,"
"1,""'051"",""Armenia"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.92"",,,"
"1,""'051"",""Armenia"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""41.37"",,,"
"1,""'051"",""Armenia"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.25"",,,"
"1,""'051"",""Armenia"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",""49.4"",""49.7"",""53.3"",""53.9"",""54.4"",""55.1"",""50.3"",""65.1"""
"1,""'051"",""Armenia"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",""49.3"",""49.5"",""53.3"",""53.8"",""54.1"",""54.9"",,"
"1,""'051"",""Armenia"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""million No"",""1.4"",""1.4"",""1.5"",""1.6"",""1.6"",""1.6"",""1.5"",""1.9"""
"1,""'051"",""Armenia"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",""1.4"",""1.4"",""1.5"",""1.6"",""1.6"",""1.6"",,"
"22,""'533"",""Aruba"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""5.14"",""5.51"",""6.09"",""6.06"",""6.05"",""6.66"",""7.1"",""7.28"""
"22,""'533"",""Aruba"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.38"",""3.55"",""3.79"",""3.9"",""4"",""4.5"",""4.82"",""5"""
"22,""'533"",""Aruba"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""0.85"",,,"
"22,""'533"",""Aruba"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.56"",,,"
"22,""'533"",""Aruba"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""1.11"",,,"
"22,""'533"",""Aruba"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.74"",,,"
